Instruction,Response
What is the legal basis for requesting information from AI providers?,"The request for information must state the legal basis, the purpose of the request, specify the required information, and set a deadline for providing it."
What happens if a market surveillance authority objects to an AI testing plan?,"If there is an objection, the provider or prospective provider and users may be required to modify aspects of the testing."
What are the amendments mentioned in the document?,Amendments include changes to the list of AI systems requiring additional transparency measures and enhancements to the supervision and governance system.
What is the timeline for the Commission to submit a report on the evaluation and review of the AI Regulation?,The Commission must submit a report every four years from the date of entry into force of the Regulation.
What is the purpose of the quality management system for AI providers?,The quality management system ensures that AI providers maintain high standards and comply with regulatory requirements.
What is the significance of Article 60 in the context of real-world testing?,"Article 60 likely outlines the procedures and conditions for real-world testing of AI systems, although the specific content is not provided in the excerpts."
How does the document ensure that AI systems comply with fundamental rights?,"The document requires a fundamental rights impact assessment, which may complement data protection impact assessments under GDPR."
What is the role of the competent market surveillance authority in the context of AI?,"The competent market surveillance authority is responsible for overseeing the compliance of AI systems with regulatory requirements, including testing and market placement."
What are the transparency obligations laid down in Article 50?,"Article 50's transparency obligations likely require providers and deployers of certain AI systems to disclose relevant information to ensure accountability and oversight, although specifics are not provided in the excerpts."
How does the document address the modification of AI systems?,The document allows market surveillance authorities to require modifications to AI systems if necessary to ensure compliance with regulations.
What is the significance of the EU database in the context of AI testing?,The EU database is used to register AI testing activities and ensure that they are conducted within the regulatory framework.
What are the requirements for informed consent in AI testing?,"Informed consent must be freely given, obtained prior to participation, and subjects must be duly informed with concise, clear, and relevant information."
What is the role of the AI Office mentioned in the document?,The AI Office is responsible for ensuring compliance with AI regulations and can request necessary information and documentation from providers.
How does the document address the intersection of AI regulations with data protection laws?,"The document states that if obligations are already met due to data protection impact assessments under GDPR, then the fundamental rights impact assessment for AI should complement that assessment."
What are the requirements for real-world testing plans for AI systems?,"Providers must submit a real-world testing plan to the competent market surveillance authority, register the testing in the EU database, and adhere to limitations on the testing period, among other safeguards."
What additional safeguards are required for vulnerable persons in AI testing?,"Providers must implement additional safeguards for vulnerable persons, including groups of vulnerable persons, and a written agreement defining roles is required."
What is the consequence of providing incorrect information to the authorities?,"Providers may face fines as stipulated in Article 101 for supplying incorrect, incomplete, or misleading information."
What is the legal basis for requesting information from AI providers?,"The request for information must state the legal basis, the purpose of the request, specify the required information, and set a deadline for providing it."
What happens if a market surveillance authority objects to an AI testing plan?,"If there is an objection, the provider or prospective provider and users may be required to modify aspects of the testing."
What are the amendments mentioned in the document?,Amendments include changes to the list of AI systems requiring additional transparency measures and enhancements to the supervision and governance system.
What is the timeline for the Commission to submit a report on the evaluation and review of the AI Regulation?,The Commission must submit a report every four years from the date of entry into force of the Regulation.
What is the purpose of the quality management system for AI providers?,The quality management system ensures that AI providers maintain high standards and comply with regulatory requirements.
What is the significance of Article 60 in the context of real-world testing?,"Article 60 likely outlines the procedures and conditions for real-world testing of AI systems, although the specific content is not provided in the excerpts."
How does the document ensure that AI systems comply with fundamental rights?,"The document requires a fundamental rights impact assessment, which may complement data protection impact assessments under GDPR."
What is the role of the competent market surveillance authority in the context of AI?,"The competent market surveillance authority is responsible for overseeing the compliance of AI systems with regulatory requirements, including testing and market placement."
What are the transparency obligations laid down in Article 50?,"Article 50's transparency obligations likely require providers and deployers of certain AI systems to disclose relevant information to ensure accountability and oversight, although specifics are not provided in the excerpts."
How does the document address the modification of AI systems?,The document allows market surveillance authorities to require modifications to AI systems if necessary to ensure compliance with regulations.
What is the significance of the EU database in the context of AI testing?,The EU database is used to register AI testing activities and ensure that they are conducted within the regulatory framework.
What are the requirements for informed consent in AI testing?,"Informed consent must be freely given, and obtained prior to participation, and subjects must be duly informed with concise, clear, and relevant information. 48		What are the key components of the AI Act? The key components of the AI Act include defining policy to identify risk levels for AI 		systems, managing stakeholder expectations, and understanding the risks that AI 			systems pose internally and externally."
How can organizations prepare for compliance with the AI Act?,"Organizations can prepare for compliance with the AI Act by defining appropriate governance, prioritizing and managing AI risks adequately, and performing inventory and classifying the current AI landscape."
What are the next steps for organizations in response to the AI Act?,"The next steps for organizations in response to the AI Act include conducting a gap analysis, automating system management and evaluation, and training employees on AI ethics and compliance."
What are the risks that AI systems pose internally and externally to organizations and the public?,"The risks that AI systems pose internally and externally to organizations and the public include potential fundamental rights impact, systemic risk, and noncompliance with applicable laws and regulations."
How can organizations prioritize and manage AI risks adequately?,"Organizations can prioritize and manage AI risks adequately by understanding the risks posed by AI systems, performing inventory and classification of current AI systems, and conducting a thorough gap analysis to identify areas of noncompliance."
What are the key actions for the short-term in response to the AI Act?,"Key actions for the short-term in response to the AI Act include defining policy to identify risk levels for AI systems, managing stakeholder expectations, and conducting a gap analysis to identify areas of noncompliance."
How can organizations anticipate the regulatory impact on their business in the mid- to long-term?,"Organizations can anticipate the regulatory impact on their business in the mid- to long-term by building consumer trust through transparency, aligning strategically with regulatory changes, and collaborating in industry discussions and policy-making processes related to AI regulation."
What are the implications of the AI Act on consumer trust and transparency in AI operations?,"The AI Act has implications on consumer trust and transparency in AI operations, requiring organizations to prioritize transparency in AI operations to build and maintain public trust and align their business strategies with the evolving regulatory landscape of AI."
What are the requirements for third-party risk management processes in the context of the AI Act?,"The requirements for third-party risk management processes in the context of the AI Act include defining third-party risk management processes, testing AI systems thoroughly, and enhancing third-party risk assessments to cover AI-specific considerations."
How can organizations align strategically with regulatory changes related to AI?,Organizations can align strategically with regulatory changes related to AI by participating in industry discussions and policy-making processes related to AI regulation and anticipating future amendments to the AI Act.
What is the purpose of Article 60?,Article 60 outlines the conditions for testing high-risk AI systems in real-world conditions outside AI regulatory sandboxes.
What is required of providers before testing high-risk AI systems?,"Providers must submit a real-world testing plan to a competent market surveillance authority and register the testing in the EU database, with some exceptions."
Are there any limitations on the period for testing high-risk AI systems?,"Yes, there are set limitations on the period for which the testing can be done."
What additional safeguards are required for vulnerable persons during testing?,"Providers must implement additional safeguards for vulnerable persons, including groups of vulnerable persons, and a written agreement defining roles."
How are AI systems classified as high-risk under this Regulation?,AI systems that are safety components of products or are themselves products falling within certain Union harmonisation legislation are classified as high-risk if they undergo third-party conformity assessment.
What is the consequence of misclassifying an AI system as not high-risk?,Providers who misclassify AI systems to circumvent requirements may be subject to fines according to Article 99.
What AI systems are considered high-risk in the management of critical infrastructure?,"AI systems intended to be used as safety components in the management and operation of critical digital infrastructure, road traffic, and the supply of water, gas, heating, and electricity are classified as high-risk."
What information must be submitted upon the registration of high-risk AI systems?,"Providers must submit specific information as outlined in ANNEX VIII, which includes details about the AI system and must keep this information up to date."
What is the conformity assessment for high-risk AI systems?,"The conformity assessment for high-risk AI systems involves demonstrating compliance with requirements set out in Section 2, using either harmonised standards or common specifications."
What documentation must a provider of a high-risk AI system draw up before placing it on the market?,Providers must draw up technical documentation of the assessment before placing the system on the market and provide it to national competent authorities upon request.
What guidelines should the Commission provide regarding high-risk AI systems?,"The Commission should provide guidelines for the practical implementation of conditions under which high-risk AI systems are, on an exceptional basis, non-high-risk, including practical examples of use cases."
How does the market surveillance authority evaluate the classification of an AI system?,The market surveillance authority evaluates the classification based on conditions set out in Article 6(3) and the Commission guidelines.
What additional obligations do providers of general-purpose AI models with systemic risk have?,"They must perform model evaluation using standardised protocols and tools, including documenting adversarial testing."
How long must providers keep contact details at the disposal of national competent authorities?,Providers must keep contact details for a period of 10 years after the high-risk AI system has been placed on the market or put into service.
What actions must providers take if they consider a high-risk AI system not in conformity with the Regulation?,Providers must immediately take corrective actions to bring the system into conformity with the Regulation.
When should the testing of high-risk AI systems be performed?,Testing should be performed throughout the development process and prior to being placed on the market or put into service.
What information must deployers of high-risk AI systems submit?,"Deployers must submit their name, address, and contact details, and keep this information up to date."
"What should the characteristics, capabilities, and limitations of performance of a high-risk AI system include?","They should include its intended purpose, level of accuracy, metrics, robustness, and cybersecurity features."
What transparency requirements exist for high-risk AI systems?,"High-risk AI systems should be designed to enable deployers to understand how the system works, evaluate its functionality, and comprehend its strengths and limitations."
What should the instructions of use for high-risk AI systems include?,"They should include information on the characteristics, capabilities, and limitations of performance of the AI system."
What does Article 11 stipulate regarding technical documentation?,Article 11 requires that the technical documentation of a high-risk AI system be drawn up before the system is placed on the market or put into service.
What is the role of the market surveillance authority in the evaluation of AI systems?,The market surveillance authority evaluates whether an AI system classified as not high-risk is indeed high-risk and requires the provider to bring the system into compliance if necessary.
What is the significance of Article 6 in the classification of high-risk AI systems?,Article 6 provides the classification rules for determining which AI systems are considered high-risk.
What is the purpose of the EU database mentioned in the context?,"The EU database is used to register high-risk AI systems and their testing, ensuring traceability and transparency."
What is the significance of Article 43 regarding conformity assessment?,Article 43 outlines the procedures for demonstrating compliance of high-risk AI systems with the requirements set out in Section 2.
What is the importance of Annex IX in the context of testing high-risk AI systems?,Annex IX specifies the information that must be submitted and kept up to date regarding testing high-risk AI systems in real-world conditions.
What does Article 20 address regarding corrective actions?,Article 20 addresses the duty of providers to take corrective actions if a high-risk AI system is not in conformity with the Regulation.
What is the significance of Article 49 in the registration of high-risk AI systems?,Article 49 details the information that providers and deployers of high-risk AI systems must submit upon registration.
What does Annex VI refer to in the context of conformity assessment?,Annex VI refers to the internal control procedure that providers can opt for during the conformity assessment of high-risk AI systems.
What is the relevance of Article 99 in the context of misclassification of AI systems?,Article 99 specifies the fines that providers may face if they misclassify an AI system as not high-risk to circumvent requirements.
What does Article 60 specify about the testing of high-risk AI systems?,Article 60 specifies that testing should be carried out against defined metrics and probabilistic thresholds appropriate to the intended purpose of the AI system.
What is the significance of Article 74(10) in the context of high-risk AI systems?,Article 74(10) refers to the authorities or bodies to which providers must keep contact details available for a period of 10 years.
What does Article 6(3)I refer to in the classification of AI systems?,Article 6(3)I refers to the conditions under which an AI system is not considered high-risk.
What is the role of the Commission in providing guidelines for high-risk AI systems?,The Commission is responsible for providing guidelines and practical examples to help determine which AI systems are high-risk and which are not.
What is the significance of Directive (EU) 2022/2557 in the context of high-risk AI systems?,Directive (EU) 2022/2557 lists critical digital infrastructure where AI systems used as safety components are classified as high-risk.
"What does Article 4, point (4) of Regulation (EU) 2016/679 refer to?","Article 4, point (4) of Regulation (EU) 2016/679 defines profiling, which is relevant in determining if an AI system poses significant risks of harm."
"What is the significance of Article 3, point (4) of Directive (EU) 2016/680 in the context of AI systems?","Article 3, point (4) of Directive (EU) 2016/680 also defines profiling, which is relevant in assessing the risk level of AI systems."
"What does Article 3, point (5) of Regulation (EU) 2018/1725 refer to?","Article 3, point (5) of Regulation (EU) 2018/1725 defines profiling in the context of data protection, which is important for AI system risk assessment."
What is the significance of Article 40 in the context of harmonised standards?,Article 40 refers to the use of harmonised standards in demonstrating compliance of high-risk AI systems during the conformity assessment.
What does Article 41 refer to in the context of common specifications?,Article 41 refers to the use of common specifications that providers may apply in the conformity assessment of high-risk AI systems.
What is the significance of Annex III in the context of high-risk AI systems?,Annex III lists high-risk AI systems for which specific information must be submitted upon registration in relation to testing in real-world conditions.
What does Article 53 outline regarding obligations of providers?,Article 53 outlines additional obligations for providers of general-purpose AI models with systemic risk.
What is the significance of adversarial testing in the context of AI systems?,Adversarial testing is part of the model evaluation process to ensure robustness and identify potential weaknesses in AI systems.
What does Article 49(1) specify about the registration of high-risk AI systems?,Article 49(1) specifies the information that providers of high-risk AI systems must submit upon registration.
What are the key components of the Al Act related to high-risk AI systems?,"The key components of the Al Act related to high-risk AI systems include defining policy to identify risk levels, managing stakeholder expectations, prioritizing and managing AI 	risks, conducting thorough gap analysis, and ensuring compliance with transparency requirements, technical documentation, and conformity assessments."
What are the obligations related to unacceptable risk AI systems under the Al Act?,"Answer: The obligations related to unacceptable risk AI systems include prohibiting AI systems that 	enable manipulation, exploitation, and social control practices, such as manipulation that 	harms or is likely to harm an AI user or another person, exploiting vulnerabilities of a specific group of 	persons, 	social scoring leading to detrimental treatment, indiscriminate scraping of facial 	images, and 	predictive policing on individuals based on personal traits."
What are the obligations related to high-risk AI systems under the Al Act?,"Answer: The obligations related to high-risk AI systems include adequate risk management, 	appropriate data governance and management practices, technical documentation, logging of 	events, registration in the EU database, transparency obligations, implementation of human 	oversight, ensuring accuracy, robustness, and cybersecurity, conformity assessment 	procedures, post-market monitoring, fundamental rights impact assessment, and suspension 	of system usage in case of national-level risks."
What are the specific obligations for providers of foundational AI models under the Al Act?,"Answer : Providers of foundational AI models must conduct model evaluations, assess and mitigate systemic risks, conduct adversarial testing, report to the Commission on serious incidents, ensure cybersecurity and energy efficiency, and assume a targeted share of the regulatory responsibility due to the downstream actors' lack of control and bargaining position."
How can organizations prioritize and manage AI risks adequately under the Al Act?,"Answer : Organizations can prioritize and manage AI risks adequately by understanding the risks posed by AI systems internally and externally, performing inventory and classification of current AI systems, conducting a gap analysis to identify areas of noncompliance, and reviewing and updating data handling practices to ensure compliance with applicable laws, regulations, and industry good practice."
What are the next steps for organizations to prepare for compliance with the Al Act?,"Answer : The next steps for organizations to prepare for compliance with the Al Act include ensuring the right people in the organization start preparing for the upcoming regulatory requirements, comprehensively understanding AI systems developed or used in the organization, categorizing them based on the risk levels defined in the Al Act, and taking immediate and long-term actions to ensure sustainable compliance with current regulations and future developments in the AI regulatory landscape."
What are the obligations of the deployers of high-risk AI systems under the Al Act?,"Answer : Deployers of high-risk AI systems, including public bodies and private entities providing essential services, bear specific obligations to ensure responsible use, including completing a fundamental rights impact assessment before deploying the AI system, implementing human oversight, ensuring pertinent input data, and suspending system usage in case of national-level risks."
How can organizations align strategically with regulatory changes related to AI under the Al Act?,"Answer : Organizations can align strategically with regulatory changes related to AI under the Al Act by participating in industry discussions and policy-making processes related to AI regulation, anticipating future amendments to the Al Act, and building consumer trust through transparency in AI operations to ensure long-term viability and acceptance of AI solutions."
What are the obligations related to third-party risk management processes for AI under the Al Act?,"Answer: The obligations related to third-party risk management processes for AI under the Al Act include enhancing third-party risk assessments to cover AI-specific considerations, continually monitoring how providers of foundational models intend to comply with the Al Act, and verifying compliance with the Al Act and ensuring all relevant documentation is available."
What are the specific obligations for importers and distributors of high-risk AI systems under the Al Act?,"Answer : Importers and distributors, before introducing a high-risk AI system to the market, share the responsibility of verifying compliance, documenting relevant information, and engaging in communication with the provider and market surveillance authorities, as well as reporting serious incidents to the AI system provider and retaining automatically generated system logs."
What are the specific processing conditions for sensitive personal data?,"Answer: The specific processing conditions for sensitive personal data include implementing suitable measures to safeguard the data subject's rights and freedoms and legitimate interests, obtaining human intervention on the part of the controller, and contesting the decision."
"What are the quality criteria for training, validation, and testing data sets for high-risk AI systems?","Answer: The quality criteria for training, validation, and testing data sets for high-risk AI systems include relevance, representativeness, freedom from errors, completeness, appropriate statistical properties, and consideration of specific geographical, contextual, behavioral, or functional settings."
What are the exceptions for processing sensitive data in automated decision-making?,"Answer: The exceptions for processing sensitive data in automated decision-making include explicit consent from the data subject or processing necessary for reasons of substantial public interest, provided suitable measures to safeguard the fundamental rights and interests of the data subject are in place."
"What are the appropriate data governance and management practices for training, validation, and testing data sets?","Answer: The appropriate data governance and management practices for training, validation, and testing data sets involve relevant design choices, data collection processes, data preparation processing operations, formulation of assumptions, and consideration of the original purpose of data collection."
What are the special categories of personal data that are prohibited from processing?,"Answer: The special categories of personal data prohibited from processing include racial or ethnic origin, political opinions, religious or philosophical beliefs, genetic data, biometric data for unique identification, health-related data, and data concerning a person's sex life or sexual orientation."
What are the conditions for processing special categories of personal data for bias detection and correction in high-risk AI systems?,"Answer: The conditions for processing special categories of personal data for bias detection and correction in high-risk AI systems include technical limitations on the re-use of the personal data, state-of-the-art security and privacy-preserving measures, strict controls and documentation of access, and measures to ensure the data are not accessed by other parties."
How can non-sensitive data act as proxies for sensitive data in high-risk AI systems?,"Answer: Non-sensitive data can act as proxies for sensitive data correlated to them, such as the place of residence acting as a proxy for ethnicity, potentially leading to unlawful discrimination."
What are the conditions for processing special categories of personal data for bias detection and correction in high-risk AI systems?,"Answer: The conditions for processing special categories of personal data for bias detection and correction in high-risk AI systems include technical limitations on the re-use of the personal data, state-of-the-art security and privacy-preserving measures, strict controls and documentation of access, and measures to ensure the data are not accessed by other parties."
What are the key components of the EU Al Act that leaders should consider when assessing compliance for their business?,"Answer : The key components of the EU Al Act that leaders should consider when assessing compliance for their business include defining policy to identify risk levels for Al systems, managing stakeholder expectations, prioritizing and managing Al risks, and aligning strategically with regulatory changes related to Al."
How can organizations effectively manage upcoming regulatory changes related to Al systems?,"Answer: Organizations can effectively manage upcoming regulatory changes related to Al systems by embarking on a transformation and compliance journey aligned with their business requirements, and by seeking assistance from professionals who can help streamline compliance journeys and adapt to the challenges of the Al Act."
"What are the challenges organizations may face in implementing the Al Act, especially in terms of technical documentation for testing, transparency, and explainability of Al applications?","Answer: Organizations may face challenges in implementing the Al Act, particularly in terms of technical documentation for testing, transparency, and explainability of Al applications, as well as in addressing the unique business processes, impacts, and risks associated with each Al application."
How can organizations prioritize and manage Al risks adequately to ensure compliance with the Al Act?,"Answer: Organizations can prioritize and manage Al risks adequately by understanding the risks posed by Al systems internally and externally, performing inventory and classification of current Al systems, and reviewing and updating data handling practices to ensure compliance with applicable laws, regulations, and industry good practice."
What are the next steps for organizations to prepare for compliance with the Al Act?,"Answer: The next steps for organizations to prepare for compliance with the Al Act include ensuring the right people in the organization start preparing for the upcoming regulatory requirements as soon as possible, comprehensively understanding Al systems developed or used in the organization, and categorizing them based on the risk levels defined in the Al Act."
What are the specific roles and expertise required within an organization to ensure compliance with the Al Act?,"Answer: The Al Act identifies various roles, including legal, privacy, data science, risk management, and procurement professionals, and a multidisciplinary task force responsible for compliance with the Al Act should cover this full range of expertise."
"How will the Al Act be enforced, and what are the potential penalties for noncompliance?","Answer: The Al Act will be enforced through the establishment of an Artificial Intelligence Board and Expert Group at the EU level, and each member state will be expected to create or designate a National Competent Authority to ensure the implementation of the regulation. Noncompliance could result in significant fines, depending on the level of infringement, ranging from 35 million euros or 7 percent of global turnover to 7.5 million or 1.5 percent of turnover."
What are the key actions organizations can take immediately and in the long term to ensure sustainable compliance with current regulations and future developments in the Al regulatory landscape?,"Answer: Key actions organizations can take immediately and in the long term to ensure sustainable compliance with current regulations and future developments in the Al regulatory landscape include initiating actions requiring a scaled approach, embedding trusted Al in innovation, design, and control, and building consumer trust through transparency."
"How can organizations automate system management and evaluation to ensure Al systems are transparent, explainable, and trustworthy?","Answer : Organizations can automate system management and evaluation by optimizing, automating, and streamlining Al system management processes, leveraging automation to extract and map technical metrics and data from Al system and application metadata to governance frameworks, and establishing a documentation repository and management system to ensure appropriate documentation processes are in place."
"What are the specific requirements for organizations using Al systems with consumers, particularly in terms of terms and conditions, privacy policy, and consent notices?","Answer: Organizations using Al systems with consumers should consider whether changes are required to their terms and conditions, privacy policy, and consent notices, and develop an 'explainability' statement to enable consumers to understand the decision-making processes of their Al systems."
What are the obligations for providers of high-risk AI systems?,Providers of high-risk AI systems are required to have a real-world testing plan submitted to competent market surveillance authorities.
What is the role of the AI Office in ensuring compliance with the regulations?,The AI Office is responsible for overseeing compliance with the regulations and may request information and documentation from providers to demonstrate compliance.
How can downstream providers of high-risk AI systems ensure compliance with the regulations?,Providers of high-risk AI systems are obliged to provide all necessary information and elements to downstream providers to ensure compliance with the requirements.
What are the conditions for collaboration between national market surveillance authorities and the AI Office?,National market surveillance authorities should collaborate with the AI Office to ensure the compliance of general-purpose AI (GPAI) systems used directly by deployers for high-risk purposes.
What are the new rules on governance included in the compromise text?,"The compromise text includes new rules on governance for AI systems, with a focus on market surveillance at the national level."
What impact assessments are required for high-risk AI systems?,Deployers of high-risk AI systems are required to conduct fundamental rights impact assessments to mitigate risks in concrete use-cases.
How can deployers simplify compliance with the obligations of the regulations?,"The AI Office is developing a template for a questionnaire, including an automated tool, to facilitate deployers in implementing the obligations in a simplified manner."
How are general-purpose AI models defined and differentiated from AI systems?,The compromise text emphasizes the need to clearly define general-purpose AI models and set them apart from AI systems to enable legal certainty.
What is the relationship between the fundamental rights impact assessment and data protection impact assessment?,"If obligations in the regulations are already met through a data protection impact assessment, the fundamental rights impact assessment should be conducted in conjunction with it."
What are the requirements for notifying authorities and notified bodies?,"Providers of high-risk AI systems are required to have a quality management system in place, keep documentation, and ensure that the AI system undergoes the relevant conformity assessment procedure before placing it on the market or putting it into service."
What are the criteria for presumption of conformity with requirements relating to notified bodies?,Conformity assessment bodies demonstrating conformity with relevant harmonized standards are presumed to comply with the requirements set out for notified bodies.
How can authorities access relevant information to establish non-compliance of high-risk AI systems?,Authorities may submit a reasoned request to the AI Office for access to information relevant to establishing non-compliance of high-risk AI systems.
What are the powers of market surveillance authorities in ensuring compliance with testing in real-world conditions?,Market surveillance authorities have the competence and powers to ensure that testing in real-world conditions is in accordance with the regulations.
What are the cybersecurity requirements for high-risk AI systems?,High-risk AI systems that have been certified or for which a statement of conformity has been issued under a cybersecurity scheme are presumed to be in compliance with the cybersecurity requirements.
What are the obligations for providers of high-risk AI systems regarding quality management systems?,"Providers of high-risk AI systems are required to have a quality management system in place, which complies with the regulations."
How can providers demonstrate compliance with the regulations through the AI regulatory sandbox?,Providers may use documentation from the AI regulatory sandbox to demonstrate compliance with the regulations through the conformity assessment process or relevant market surveillance activities.
What are the requirements for high-risk AI systems to comply with the regulations?,"High-risk AI systems must comply with the requirements established in the regulations, taking into account their intended purpose and the state of the art on AI and AI-related technologies."
What are the obligations for providers of high-risk AI systems regarding real-world testing?,"Providers of high-risk AI systems are required to have a strategy for regulatory compliance, including compliance with conformity assessment procedures and procedures for the management of modifications to the high-risk AI system."
What issues should be covered in the codes of practice developed by the AI Office and the AI Board?,"The codes of practice should cover obligations provided for in the regulations, including means to ensure that information is kept up to date, identification of systemic risks, and measures for the assessment and management of systemic risks at the Union level."
How can market surveillance authorities verify compliance with testing in real-world conditions?,Market surveillance authorities may verify compliance with testing in real-world conditions as part of their supervisory role for the AI regulatory sandbox.
What are the requirements for providers of high-risk AI systems regarding the transfer of data during testing?,"Providers of high-risk AI systems are required to ensure that personal data is protected and deleted when subjects have withdrawn their consent to participate in testing, without prejudice to their rights as data subjects under EU data protection law."
What are the obligations for providers of high-risk AI systems regarding logs automatically generated by their systems?,"Providers of high-risk AI systems are required to keep the logs automatically generated by their systems under their control, as referred to in the regulations."
How can providers ensure that their AI systems undergo the relevant conformity assessment procedure?,Providers of high-risk AI systems are required to ensure that their systems undergo the relevant conformity assessment procedure before placing them on the market or putting them into service.
What are the obligations for providers of high-risk AI systems regarding the EU declaration of conformity?,Providers of high-risk AI systems are required to draw up an EU declaration of conformity in accordance with the regulations.
What are the obligations for providers of high-risk AI systems regarding the documentation of their systems?,Providers of high-risk AI systems are required to keep the documentation referred to in the regulations.
What are the obligations for providers of high-risk AI systems regarding the quality management system?,"Providers of high-risk AI systems are required to have a quality management system in place, which complies with the regulations."
What are the obligations for providers of high-risk AI systems regarding the logs automatically generated by their systems?,"Providers of high-risk AI systems are required to keep the logs automatically generated by their systems under their control, as referred to in the regulations."
What are the obligations for providers of high-risk AI systems regarding the transfer of data during testing?,"Providers of high-risk AI systems are required to ensure that personal data is protected and deleted when subjects have withdrawn their consent to participate in testing, without prejudice to their rights as data subjects under EU data protection law."
What are the obligations for providers of high-risk AI systems regarding the EU declaration of conformity?,Providers of high-risk AI systems are required to draw up an EU declaration of conformity in accordance with the regulations.
What are the obligations for providers of high-risk AI systems regarding the documentation of their systems?,Providers of high-risk AI systems are required to keep the documentation referred to in the regulations.
What are the obligations for providers of high-risk AI systems regarding the quality management system?,"Providers of high-risk AI systems are required to have a quality management system in place, which complies with the regulations."
What are the obligations for providers of high-risk AI systems regarding the logs automatically generated by their systems?,"Providers of high-risk AI systems are required to keep the logs automatically generated by their systems under their control, as referred to in the regulations."
What are the obligations for providers of high-risk AI systems regarding the transfer of data during testing?,"Providers of high-risk AI systems are required to ensure that personal data is protected and deleted when subjects have withdrawn their consent to participate in testing, without prejudice to their rights as data subjects under EU data protection law."
What are the obligations for providers of high-risk AI systems regarding the EU declaration of conformity?,Providers of high-risk AI systems are required to draw up an EU declaration of conformity in accordance with the regulations.
What are the obligations for providers of high-risk AI systems regarding the documentation of their systems?,Providers of high-risk AI systems are required to keep the documentation referred to in the regulations.
What are the obligations for providers of high-risk AI systems regarding the quality management system?,"Providers of high-risk AI systems are required to have a quality management system in place, which complies with the regulations."
What are the obligations for providers of high-risk AI systems regarding the logs automatically generated by their systems?,"Providers of high-risk AI systems are required to keep the logs automatically generated by their systems under their control, as referred to in the regulations."
What are the obligations for providers of high-risk AI systems regarding the transfer of data during testing?,"Providers of high-risk AI systems are required to ensure that personal data is protected and deleted when subjects have withdrawn their consent to participate in testing, without prejudice to their rights as data subjects under EU data protection law."
What are the obligations for providers of high-risk AI systems regarding the EU declaration of conformity?,Providers of high-risk AI systems are required to draw up an EU declaration of conformity in accordance with the regulations.
What are the obligations for providers of high-risk AI systems regarding the documentation of their systems?,Providers of high-risk AI systems are required to keep the documentation referred to in the regulations.
What are the obligations for providers of high-risk AI systems regarding the quality management system?,"Providers of high-risk AI systems are required to have a quality management system in place, which complies with the regulations."
What are the obligations for providers of high-risk AI systems regarding the logs automatically generated by their systems?,"Providers of high-risk AI systems are required to keep the logs automatically generated by their systems under their control, as referred to in the regulations."
What are the obligations for providers of high-risk AI systems regarding the transfer of data during testing?,Providers of high-risk AI systems are required to ensure
What are the obligations for providers of high-risk AI systems regarding the protection and deletion of personal data when subjects withdraw their consent for testing?,"Providers of high-risk AI systems are required to ensure that personal data is protected and deleted when subjects have withdrawn their consent to participate in testing, in accordance with EU data protection law."
How can providers ensure that their AI systems undergo the relevant conformity assessment procedure?,Providers of high-risk AI systems are required to ensure that their systems undergo the relevant conformity assessment procedure before placing them on the market or putting them into service.
What are the requirements for notifying authorities and notified bodies?,Providers of high-risk AI systems are required to comply with the registration obligations and provide all necessary information to downstream providers for conformity assessment purposes.
What are the conditions for collaboration between national market surveillance authorities and the AI Office?,National market surveillance authorities should collaborate with the AI Office to ensure the compliance of general-purpose AI (GPAI) systems used directly by deployers for high-risk purposes.
